 NUMBER OF REQUESTS
 10

 NUMBER OF CROSSDOCKS
  1

 VEHICLE CAPACITY          VEHICLE SPEED
       33                        60

 UNIT_TIME_FOR_PALLET      FIXED_TIME_PREPARATION
   1                             10
 REQUEST      SUPPLIER                                            CUSTOMER
 CUST NO.     XCOORD.     YCOORD.     READY TIME     DUE DATE     XCOORD.     YCOORD.     READY TIME     DUE DATE     DEMAND
    0          677908     6150220         0          10000        677908      6150220         0           10000         0
    1          720415     6176264        375         495          538181      6086484        742          862           16
    2          711815     6208837        422         542          588257      6139249        733          853           10
    3          710831     6168718        360         471          528913      6152557        1032          1152           4
    4          662179     6199594        424         544          500074      6269745        849          969           4
    5          720134     6210199        441         561          585053      6140355        780          900           3
    6          723050     6178505        372         492          557926      6181752        740          860           9
    7          722462     6177770        365         485          609023      6077163        832          952           3
    8          719104     6173159        373         493          507721      6199180        824          944           3
    9          726755     6174369        454         574          522714      6075103        975          1095           6
    10          718638     6205725        423         543          526981      6257531        853          973           8
